Topic,Characteristics,Total
Commuting destination,  Commute within census subdivision (CSD) of residence,88975
Commuting destination,  Commute to a different census subdivision (CSD) within census division (CD) of residence,6680
Commuting destination,  Commute to a different census subdivision (CSD) and census division (CD) within province or territory of residence,1065
Commuting destination,  Commute to a different province or territory,370
Main mode of commuting,Total - Main mode of commuting for the employed labour force aged 15 years and over in private households with a usual place of work or no fixed workplace address - 25% sample data,109040
Main mode of commuting,  Car; truck; van - as a driver,88670
Main mode of commuting,  Car; truck; van - as a passenger,7570
Main mode of commuting,  Public transit,6010
Main mode of commuting,  Walked,4585
Main mode of commuting,  Bicycle,1275
Main mode of commuting,  Other method,935
Commuting duration,Total - Commuting duration for the employed labour force aged 15 years and over in private households with a usual place of work or no fixed workplace address - 25% sample data,109035
Commuting duration,  Less than 15 minutes,40395
Commuting duration,  15 to 29 minutes,55400
Commuting duration,  30 to 44 minutes,8710
Commuting duration,  45 to 59 minutes,2325
Commuting duration,  60 minutes and over,2210
Time leaving for work,Total - Time leaving for work for the employed labour force aged 15 years and over in private households with a usual place of work or no fixed workplace address - 25% sample data,109035
Time leaving for work,  Between 5 a.m. and 5:59 a.m.,5750
Time leaving for work,  Between 6 a.m. and 6:59 a.m.,18455
Time leaving for work,  Between 7 a.m. and 7:59 a.m.,39775
Time leaving for work,  Between 8 a.m. and 8:59 a.m.,19155
Time leaving for work,  Between 9 a.m. and 11:59 a.m.,9805
Time leaving for work,  Between 12 p.m. and 4:59 a.m.,16090
Language used most often at work,Total - Language used most often at work for the population in private households aged 15 years and over who worked since January 1; 2015 - 25% sample data,129685
Language used most often at work,  Single responses,128895
Language used most often at work,    Official languages,128105
Language used most often at work,      English,127465
Language used most often at work,      French,635
Language used most often at work,    Non-official languages,795
Language used most often at work,      Aboriginal languages,10
Language used most often at work,        Algonquian languages,10
Language used most often at work,          Blackfoot,0
Language used most often at work,          Cree-Montagnais languages,0
Language used most often at work,            Atikamekw,0
Language used most often at work,            Montagnais (Innu),0
Language used most often at work,            Moose Cree,0
Language used most often at work,            Naskapi,0
Language used most often at work,            Northern East Cree,0
Language used most often at work,            Plains Cree,0
Language used most often at work,            Southern East Cree,0
Language used most often at work,            Swampy Cree,0
Language used most often at work,            Woods Cree,0
Language used most often at work,            Cree; n.o.s.,0
Language used most often at work,          Eastern Algonquian languages,0
Language used most often at work,            Malecite,0
Language used most often at work,            Mi'kmaq,0
Language used most often at work,          Ojibway-Potawatomi languages,0
Language used most often at work,            Algonquin,0
Language used most often at work,            Ojibway,0
Language used most often at work,            Oji-Cree,0
Language used most often at work,            Ottawa (Odawa),0
Language used most often at work,          Algonquian languages; n.i.e.,0
Language used most often at work,        Athabaskan languages,0
Language used most often at work,          Northern Athabaskan languages,0
Language used most often at work,            Babine (Wetsuwet'en),0
Language used most often at work,            Beaver,0
Language used most often at work,            Carrier,0
Language used most often at work,            Chilcotin,0
Language used most often at work,            Dene,0
Language used most often at work,            Dogrib (Tlicho),0
Language used most often at work,            Gwich'in,0
Language used most often at work,            Sarsi (Sarcee),0
Language used most often at work,            Sekani,0
Language used most often at work,            Slavey-Hare languages,0
Language used most often at work,              North Slavey (Hare),0
Language used most often at work,              South Slavey,0
Language used most often at work,              Slavey; n.o.s.,0
Language used most often at work,            Tahltan languages,0
Language used most often at work,              Kaska (Nahani),0
Language used most often at work,              Tahltan,0
Language used most often at work,            Tutchone languages,0
Language used most often at work,              Northern Tutchone,0
Language used most often at work,              Southern Tutchone,0
Language used most often at work,          Athabaskan languages; n.i.e.,0
Language used most often at work,        Haida,0
Language used most often at work,        Inuit languages,0
Language used most often at work,          Inuinnaqtun (Inuvialuktun),0
Language used most often at work,          Inuktitut,0
Language used most often at work,          Inuit languages; n.i.e.,0
Language used most often at work,        Iroquoian languages,0
Language used most often at work,          Cayuga,0
Language used most often at work,          Mohawk,0
Language used most often at work,          Oneida,0
Language used most often at work,          Iroquoian languages; n.i.e.,0
Language used most often at work,        Kutenai,0
Language used most often at work,        Michif,0
Language used most often at work,        Salish languages,0
Language used most often at work,          Comox,0
Language used most often at work,          Halkomelem,0
Language used most often at work,          Lillooet,0
Language used most often at work,          Okanagan,0
Language used most often at work,          Shuswap (Secwepemctsin),0
Language used most often at work,          Squamish,0
Language used most often at work,          Straits,0
Language used most often at work,          Thompson (Ntlakapamux),0
Language used most often at work,          Salish languages; n.i.e.,0
Language used most often at work,        Siouan languages,0
Language used most often at work,          Dakota,0
Language used most often at work,          Stoney,0
Language used most often at work,          Siouan languages; n.i.e.,0
Language used most often at work,        Tlingit,0
Language used most often at work,        Tsimshian languages,0
Language used most often at work,          Gitxsan (Gitksan),0
Language used most often at work,          Nisga'a,0
Language used most often at work,          Tsimshian,0
Language used most often at work,        Wakashan languages,0
Language used most often at work,          Haisla,0
Language used most often at work,          Heiltsuk,0
Language used most often at work,          Kwakiutl (Kwak'wala),0
Language used most often at work,          Nuu-chah-nulth (Nootka),0
Language used most often at work,          Wakashan languages; n.i.e.,0
Language used most often at work,        Aboriginal languages; n.o.s.,0
Language used most often at work,      Non-Aboriginal languages,790
Language used most often at work,        Afro-Asiatic languages,75
Language used most often at work,          Berber languages,0
Language used most often at work,            Kabyle,0
Language used most often at work,            Berber languages; n.i.e.,0
Language used most often at work,          Cushitic languages,10
Language used most often at work,            Bilen,0
Language used most often at work,            Oromo,0
Language used most often at work,            Somali,15
Language used most often at work,            Cushitic languages; n.i.e.,0
Language used most often at work,          Semitic languages,70
Language used most often at work,            Amharic,0
Language used most often at work,            Arabic,45
Language used most often at work,            Assyrian Neo-Aramaic,20
Language used most often at work,            Chaldean Neo-Aramaic,0
Language used most often at work,            Harari,0
Language used most often at work,            Hebrew,0
Language used most often at work,            Maltese,0
Language used most often at work,            Tigrigna,0
Language used most often at work,            Semitic languages; n.i.e.,0
Language used most often at work,          Afro-Asiatic languages; n.i.e.,0
Language used most often at work,        Austro-Asiatic languages,90
Language used most often at work,          Khmer (Cambodian),0
Language used most often at work,          Vietnamese,90
Language used most often at work,          Austro-Asiatic languages; n.i.e,0
Language used most often at work,        Austronesian languages,45
Language used most often at work,          Bikol,0
Language used most often at work,          Cebuano,10
Language used most often at work,          Fijian,0
Language used most often at work,          Hiligaynon,0
Language used most often at work,          Ilocano,0
Language used most often at work,          Malagasy,0
Language used most often at work,          Malay,0
Language used most often at work,          Pampangan (Kapampangan; Pampango),0
Language used most often at work,          Pangasinan,0
Language used most often at work,          Tagalog (Pilipino; Filipino),30
Language used most often at work,          Waray-Waray,0
Language used most often at work,          Austronesian languages; n.i.e.,0
Language used most often at work,        Creole languages,0
Language used most often at work,          Haitian Creole,0
Language used most often at work,          Creole; n.o.s.,0
Language used most often at work,          Creole languages; n.i.e.,0
Language used most often at work,        Dravidian languages,0
Language used most often at work,          Kannada,0
Language used most often at work,          Malayalam,0
Language used most often at work,          Tamil,0
Language used most often at work,          Telugu,0
Language used most often at work,          Dravidian languages; n.i.e.,0
Language used most often at work,        Hmong-Mien languages,0
Language used most often at work,        Indo-European languages,170
Language used most often at work,          Albanian,0
Language used most often at work,          Armenian,0
Language used most often at work,          Balto-Slavic languages,20
Language used most often at work,            Baltic languages,0
Language used most often at work,              Latvian,0
Language used most often at work,              Lithuanian,0
Language used most often at work,            Slavic languages,20
Language used most often at work,              Belarusan,0
Language used most often at work,              Bosnian,0
Language used most often at work,              Bulgarian,0
Language used most often at work,              Croatian,0
Language used most often at work,              Czech,0
Language used most often at work,              Macedonian,0
Language used most often at work,              Polish,0
Language used most often at work,              Russian,0
Language used most often at work,              Serbian,0
Language used most often at work,              Serbo-Croatian,0
Language used most often at work,              Slovak,0
Language used most often at work,              Slovene (Slovenian),0
Language used most often at work,              Ukrainian,15
Language used most often at work,              Slavic languages; n.i.e.,0
Language used most often at work,          Celtic languages,0
Language used most often at work,            Scottish Gaelic,0
Language used most often at work,            Welsh,0
Language used most often at work,            Celtic languages; n.i.e.,0
Language used most often at work,          Germanic languages,15
Language used most often at work,            Afrikaans,0
Language used most often at work,            Danish,0
Language used most often at work,            Dutch,10
Language used most often at work,            Frisian,0
Language used most often at work,            German,10
Language used most often at work,            Icelandic,0
Language used most often at work,            Norwegian,0
Language used most often at work,            Swedish,0
Language used most often at work,            Vlaams (Flemish),0
Language used most often at work,            Yiddish,0
Language used most often at work,            Germanic languages; n.i.e.,0
Language used most often at work,          Greek,0
Language used most often at work,          Indo-Iranian languages,95
Language used most often at work,            Indo-Aryan languages,95
Language used most often at work,              Bengali,15
Language used most often at work,              Gujarati,10
Language used most often at work,              Hindi,10
Language used most often at work,              Kashmiri,0
Language used most often at work,              Konkani,0
Language used most often at work,              Marathi,0
Language used most often at work,              Nepali,10
Language used most often at work,              Oriya (Odia),0
Language used most often at work,              Punjabi (Panjabi),15
Language used most often at work,              Sindhi,0
Language used most often at work,              Sinhala (Sinhalese),0
Language used most often at work,              Urdu,30
Language used most often at work,            Iranian languages,0
Language used most often at work,              Kurdish,0
Language used most often at work,              Pashto,0
Language used most often at work,              Persian (Farsi),0
Language used most often at work,            Indo-Iranian languages; n.i.e.,0
Language used most often at work,          Italic (Romance) languages,40
Language used most often at work,            Catalan,0
Language used most often at work,            Italian,0
Language used most often at work,            Portuguese,0
Language used most often at work,            Romanian,0
Language used most often at work,            Spanish,30
Language used most often at work,            Italic (Romance) languages; n.i.e.,0
Language used most often at work,        Japanese,0
Language used most often at work,        Kartvelian languages,0
Language used most often at work,          Georgian,0
Language used most often at work,        Korean,40
Language used most often at work,        Mongolic languages,0
Language used most often at work,          Mongolian,0
Language used most often at work,        Niger-Congo languages,0
Language used most often at work,          Akan (Twi),0
Language used most often at work,          Bamanankan,0
Language used most often at work,          Edo,0
Language used most often at work,          Ewe,0
Language used most often at work,          Fulah (Pular; Pulaar; Fulfulde),0
Language used most often at work,          Ga,0
Language used most often at work,          Ganda,0
Language used most often at work,          Igbo,0
Language used most often at work,          Lingala,0
Language used most often at work,          Rundi (Kirundi),0
Language used most often at work,          Kinyarwanda (Rwanda),0
Language used most often at work,          Shona,0
Language used most often at work,          Swahili,0
Language used most often at work,          Wolof,0
Language used most often at work,          Yoruba,0
Language used most often at work,          Niger-Congo languages; n.i.e.,0
Language used most often at work,        Nilo-Saharan languages,0
Language used most often at work,          Dinka,0
Language used most often at work,          Nilo-Saharan languages; n.i.e.,0
Language used most often at work,        Sign languages,10
Language used most often at work,          American Sign Language,0
Language used most often at work,          Quebec Sign Language,0
Language used most often at work,          Sign languages; n.i.e,10
Language used most often at work,        Sino-Tibetan languages,350
Language used most often at work,          Chinese languages,320
Language used most often at work,            Cantonese,105
Language used most often at work,            Hakka,0
Language used most often at work,            Mandarin,170
Language used most often at work,            Min Dong,0
Language used most often at work,            Min Nan (Chaochow; Teochow; Fukien; Taiwanese),0
Language used most often at work,            Wu (Shanghainese),0
Language used most often at work,            Chinese; n.o.s.,45
Language used most often at work,            Chinese languages; n.i.e.,0
Language used most often at work,          Tibeto-Burman languages,30
Language used most often at work,            Burmese,10
Language used most often at work,            Karenic languages,20
Language used most often at work,            Tibetan,0
Language used most often at work,            Tibeto-Burman languages; n.i.e.,0
Language used most often at work,        Tai-Kadai languages,0
Language used most often at work,          Lao,0
Language used most often at work,          Thai,0
Language used most often at work,          Tai-Kadai languages; n.i.e,0
Language used most often at work,        Turkic languages,0
Language used most often at work,          Azerbaijani,0
Language used most often at work,          Turkish,10
Language used most often at work,          Uyghur,0
Language used most often at work,          Uzbek,0
Language used most often at work,          Turkic languages; n.i.e.,0
Language used most often at work,        Uralic languages,10
Language used most often at work,          Estonian,0
Language used most often at work,          Finnish,0
Language used most often at work,          Hungarian,0
Language used most often at work,          Uralic languages; n.i.e.,0
Language used most often at work,        Other languages; n.i.e.,0
Language used most often at work,  Multiple responses,785
Language used most often at work,    English and French,210
Language used most often at work,    English and non-official language,565
Language used most often at work,    French and non-official language,0
Language used most often at work,    English; French and non-official language,0
Other language used regularly at work,Total - Other language(s) used regularly at work for the population in private households aged 15 years and over who worked since January 1; 2015 - 25% sample data,129685
Other language used regularly at work,  None,125540
Other language used regularly at work,  English,750
Other language used regularly at work,  French,1140
Other language used regularly at work,  Non-official language,2205
Other language used regularly at work,    Aboriginal,30
Other language used regularly at work,    Non-Aboriginal,2170
Other language used regularly at work,  English and French,0
Other language used regularly at work,  English and non-official language,0
Other language used regularly at work,  French and non-official language,45
Other language used regularly at work,  English; French and non-official language,0
Mobility status - Place of residence 1 year ago,Total - Mobility status 1 year ago - 25% sample data,208250
Mobility status - Place of residence 1 year ago,  Non-movers,172960
Mobility status - Place of residence 1 year ago,  Movers,35290
Mobility status - Place of residence 1 year ago,    Non-migrants,24550
Mobility status - Place of residence 1 year ago,    Migrants,10745
Mobility status - Place of residence 1 year ago,      Internal migrants,7230
Mobility status - Place of residence 1 year ago,        Intraprovincial migrants,4195
Mobility status - Place of residence 1 year ago,        Interprovincial migrants,3035
Mobility status - Place of residence 1 year ago,      External migrants,3510
Mobility status - Place of residence 5 years ago,Total - Mobility status 5 years ago - 25% sample data,197355
Mobility status - Place of residence 5 years ago,  Non-movers,107330
Mobility status - Place of residence 5 years ago,  Movers,90025
Mobility status - Place of residence 5 years ago,    Non-migrants,54295
Mobility status - Place of residence 5 years ago,    Migrants,35730
Mobility status - Place of residence 5 years ago,      Internal migrants,20430
Mobility status - Place of residence 5 years ago,        Intraprovincial migrants,10835
Mobility status - Place of residence 5 years ago,        Interprovincial migrants,9600
Mobility status - Place of residence 5 years ago,      External migrants,15300
,,
Symbols:,,
...,not applicable,
r,revised. The 2011 count for this area has been revised.  ,
,,
Notes:,,
1, 2016 and 2011 population,
,Statistics Canada is committed to protect the privacy of all Canadians and the confidentiality of the data they provide to us. As part of this commitment  some population counts of geographic areas are adjusted in order to ensure confidentiality.,
,The adjustment to counts of the total population for any dissemination block is controlled to ensure that the population counts for dissemination areas will always be within 5 of the actual values. The adjustment has no impact on the population counts of census divisions and large census subdivisions.,
2, Total private dwellings,
,'Private dwelling' refers to a separate set of living quarters with a private entrance either from outside the building or from a common hall  lobby  vestibule or stairway inside the building. The entrance to the dwelling must be one that can be used without passing through the living quarters of some other person or group of persons.,
,For more information  refer to the Census Dictionary: Private dwelling.,
3, Private dwellings occupied by usual residents,
,'Private dwelling occupied by usual residents' refers to a private dwelling in which a person or a group of persons is permanently residing. Also included are private dwellings whose usual residents are temporarily absent on May 10  2016.,
4, Total - Age groups and average age of the population - 100% data,
,For data on the population by single years of age  refer to the table titled 'Age (in single years) and average age' in the census data tables.,
5, Total - Occupied private dwellings by structural type of dwelling - 100% data,
,'Structural type' refers to the structural characteristics and/or dwelling configuration  that is  whether the dwelling is a single-detached house  an apartment in a high-rise building  a row house  a mobile home  etc.,
6, Other attached dwelling,
,The category 'Other attached-dwelling' is a subtotal of the following categories: semi-detached house  row house  apartment or flat in a duplex  apartment in a building that has fewer than five storeys and other single-attached house.,
7, Movable dwelling,
,The category 'Movable dwelling' includes mobile homes and other movable dwellings such as houseboats  recreational vehicles and railroad cars.,
8, Total - Private households by household size - 100% data,
,Household size refers to the number of persons in a private household.,
9, Total - Population aged 15 years and over by marital status - 100% data,
,For more information  refer to the Census Dictionary: Marital status.,
10, Total - Census families in private households by family size - 100% data,
,Census family is defined as a married couple (with or without children of either and/or both spouses)  a common-law couple (with or without children of either and/or both partners) or a lone parent of any marital status  with at least one child living in the same dwelling. For more information  refer to the Census Dictionary: Census family structure.,
11, Total number of census families in private households - 100% data,
,'Census family structure' refers to the combination of relatives that comprise a census family. Classification on this variable considers the presence or absence of: married spouses or common-law partners and children.,
12, Total - Private households by household type - 100% data,
,For more information  refer to the Census Dictionary: Household type.,
13, One-census-family households - Without children in a census family,
,The household includes a single couple (without children). Other persons related or unrelated to the couple may also be present.,
14, One-census-family households - With children in a census family,
,The household includes either a couple with children or a lone parent and his or her children. Other persons related or unrelated to the census family may also be present.,
15, Total - Knowledge of official languages for the total population excluding institutional residents - 100% data,
,Knowledge of official languages refers to whether the person can conduct a conversation in English only  French only  in both languages or in neither language. For a child who has not yet learned to speak  this includes languages that the child is learning to speak at home.,
,For more information on language variables  including information on their classifications  the questions from which they are derived  data quality and their comparability with other sources of data  please refer to the Languages Reference Guide  Census of Population  2016.,
,Total population excluding institutional residents refers to the total population excluding persons who live in institutional collective dwellings.,
16, Total - First official language spoken for the total population excluding institutional residents - 100% data,
,First official language spoken is specified within the framework of the Official Languages Act. It refers to the first official language (i.e.  English or French) spoken by the person.,
,For more information on language variables  including information on their classifications  the questions from which they are derived  data quality and their comparability with other sources of data  please refer to the Languages Reference Guide  Census of Population  2016.,
,Total population excluding institutional residents refers to the total population excluding persons who live in institutional collective dwellings.,
17, Official language minority,
,The official language minority population of Quebec includes all individuals with English as a first official language spoken and half of those with both English and French. The official language minority population of the country overall and of every province and territory other than Quebec includes individuals with French as a first official language spoken and half of those with both English and French.,
18, Total - Mother tongue for the total population excluding institutional residents - 100% data,
,Mother tongue refers to the first language learned at home in childhood and still understood by the person at the time the data was collected. If the person no longer understands the first language learned  the mother tongue is the second language learned. For a person who learned two languages at the same time in early childhood  the mother tongue is the language this person spoke most often at home before starting school. The person has two mother tongues only if the two languages were used equally often and are still understood by the person. For a child who has not yet learned to speak  the mother tongue is the language spoken most often to this child at home. The child has two mother tongues only if both languages are spoken equally often so that the child learns both languages at the same time.,
,For more information on language variables  including information on their classifications  the questions from which they are derived  data quality and their comparability with other sources of data  please refer to the Languages Reference Guide  Census of Population  2016.,
,Total population excluding institutional residents refers to the total population excluding persons who live in institutional collective dwellings.,
,n.i.e. = not included elsewhere,
,n.o.s. = not otherwise specified,
19, Total - Language spoken most often at home for the total population excluding institutional residents - 100% data,
,Language spoken most often at home refers to the language the person speaks most often at home at the time of data collection. A person can report more than one language as 'spoken most often at home' if the languages are spoken equally often.,
,For a person who lives alone  the language spoken most often at home is the language in which he or she feels most comfortable. For a child who has not yet learned to speak  this is the language spoken most often to the child at home. Where two languages are spoken to the child  the language spoken most often at home is the language spoken most often. If both languages are used equally often  then both languages are included here.,
,For more information on language variables  including information on their classifications  the questions from which they are derived  data quality and their comparability with other sources of data  please refer to the Languages Reference Guide  Census of Population  2016.,
,Total population excluding institutional residents refers to the total population excluding persons who live in institutional collective dwellings.,
,n.i.e. = not included elsewhere,
,n.o.s. = not otherwise specified,
20, Total - Other language(s) spoken regularly at home for the total population excluding institutional residents - 100% data,
,Other language(s) spoken regularly at home refers to the languages  if any  that the person speaks at home on a regular basis at the time of data collection  other than the language or languages he or she speaks most often at home.,
,For more information on language variables  including information on their classifications  the questions from which they are derived  data quality and their comparability with other sources of data  please refer to the Languages Reference Guide  Census of Population  2016.,
,Total population excluding institutional residents refers to the total population excluding persons who live in institutional collective dwellings.,
21, Total income - The sum of certain incomes (in cash and  in some circumstances  in kind) of the statistical unit during a specified reference period. The components used to calculate total income vary between:,
,    *statistical units of social statistical programs such as persons  private households  census families and economic families;,
,    *statistical units of business statistical programs such as enterprises  companies  establishments and locations;,
,    *statistical units of farm statistical programs such as farm operator and farm family.,
,In the context of persons  total income refers to receipts from certain sources  before income taxes and deductions  during a specified reference period.,
,In the context of census families  total income refers to receipts from certain sources of all of its family members  before income taxes and deductions  during a specified reference period.,
,In the context of economic families  total income refers to receipts from certain sources of all of its family members  before income taxes and deductions  during a specified reference period.,
,In the context of households  total income refers to receipts from certain sources of all household members  before income taxes and deductions  during a specified reference period.,
,The monetary receipts included are those that tend to be of a regular and recurring nature. Receipts that are included as income are:,
,    *employment income from wages  salaries  tips  commissions and net income from self-employment (for both unincorporated farm and non-farm activities);,
,    *income from investment sources  such as dividends and interest on bonds  accounts  guaranteed investment certificates (GICs) and mutual funds;,
,    *income from employer and personal pension sources  such as private pensions and payments from annuities and registered retirement income funds (RRIFs);,
,    *other regular cash income  such as child support payments received  spousal support payments (alimony) received and scholarships;,
,    *income from government sources  such as social assistance  child benefits  Employment Insurance benefits  Old Age Security benefits  Canada Pension Plan and Québec Pension Plan benefits and disability income.,
,Receipts excluded from this income definition are:,
,    *one-time receipts  such as lottery winnings  gambling winnings  cash inheritances  lump-sum insurance settlements and tax-free savings account (TFSA) or registered retirement savings plan (RRSP) withdrawals;,
,    *capital gains because they are not by their nature regular and recurring. It is further assumed that they are more relevant to the concept of wealth than the concept of income;,
,    *employers' contributions to registered pension plans  Canada Pension Plan  Québec Pension Plan and Employment Insurance;,
,    *voluntary inter-household transfers  imputed rent  goods and services produced for barter and goods produced for own consumption.,
,After-tax income - Total income less income taxes of the statistical unit during a specified reference period. Income taxes refers to the sum of federal income taxes  provincial and territorial income taxes  less abatement where applicable. Provincial and territorial income taxes include health care premiums in certain jurisdictions. Abatement reduces the federal income taxes payable by persons residing in Quebec or in certain self-governing Yukon First Nation settlement lands.,
,Market income - The sum of employment income (wages  salaries and commissions  net self-employment income from farm or non-farm unincorporated business and/or professional practice)  investment income  private retirement income (retirement pensions  superannuation and annuities  including those from registered retirement savings plans [RRSPs] and registered retirement income funds [RRIFs]) and other money income from market sources during the reference period. It is equivalent to total income minus government transfers. It is also referred to as income before transfers and taxes.,
,Government transfers - All cash benefits received from federal  provincial  territorial or municipal governments during the reference period. It includes:,
,    *Old Age Security pension  Guaranteed Income Supplement  Allowance or Allowance for the Survivor;,
,    *retirement  disability and survivor benefits from Canada Pension Plan and Québec Pension Plan;,
,    *benefits from Employment Insurance and Québec parental insurance plan;,
,    *child benefits from federal and provincial programs;,
,    *social assistance benefits;,
,    *workers' compensation benefits;,
,    *Working income tax benefit;,
,    *Goods and services tax credit and harmonized sales tax credit;,
,    *other income from government sources.,
,Employment income - All income received as wages  salaries and commissions from paid employment and net self-employment income from farm or non-farm unincorporated business and/or professional practice during the reference period.,
,For the 2016 Census  the reference period is the calendar year 2015 for all income variables.,
,Median income - The median income of a specified group is the amount that divides the income distribution of that group into two halves  i.e.  the incomes of half of the units in that group are below the median  while those of the other half are above the median. Median incomes of individuals are calculated for those with income (positive or negative).,
22, Total income - The sum of certain incomes (in cash and  in some circumstances  in kind) of the statistical unit during a specified reference period. The components used to calculate total income vary between:,
,    *statistical units of social statistical programs such as persons  private households  census families and economic families;,
,    *statistical units of business statistical programs such as enterprises  companies  establishments and locations;,
,    *statistical units of farm statistical programs such as farm operator and farm family.,
,In the context of persons  total income refers to receipts from certain sources  before income taxes and deductions  during a specified reference period.,
,In the context of census families  total income refers to receipts from certain sources of all of its family members  before income taxes and deductions  during a specified reference period.,
,In the context of economic families  total income refers to receipts from certain sources of all of its family members  before income taxes and deductions  during a specified reference period.,
,In the context of households  total income refers to receipts from certain sources of all household members  before income taxes and deductions  during a specified reference period.,
,The monetary receipts included are those that tend to be of a regular and recurring nature. Receipts that are included as income are:,
,    *employment income from wages  salaries  tips  commissions and net income from self-employment (for both unincorporated farm and non-farm activities);,
,    *income from investment sources  such as dividends and interest on bonds  accounts  guaranteed investment certificates (GICs) and mutual funds;,
,    *income from employer and personal pension sources  such as private pensions and payments from annuities and registered retirement income funds (RRIFs);,
,    *other regular cash income  such as child support payments received  spousal support payments (alimony) received and scholarships;,
,    *income from government sources  such as social assistance  child benefits  Employment Insurance benefits  Old Age Security benefits  Canada Pension Plan and Québec Pension Plan benefits and disability income.,
,Receipts excluded from this income definition are:,
,    *one-time receipts  such as lottery winnings  gambling winnings  cash inheritances  lump-sum insurance settlements and tax-free savings account (TFSA) or registered retirement savings plan (RRSP) withdrawals;,
,    *capital gains because they are not by their nature regular and recurring. It is further assumed that they are more relevant to the concept of wealth than the concept of income;,
,    *employers' contributions to registered pension plans  Canada Pension Plan  Québec Pension Plan and Employment Insurance;,
,    *voluntary inter-household transfers  imputed rent  goods and services produced for barter and goods produced for own consumption.,
,After-tax income - Total income less income taxes of the statistical unit during a specified reference period. Income taxes refers to the sum of federal income taxes  provincial and territorial income taxes  less abatement where applicable. Provincial and territorial income taxes include health care premiums in certain jurisdictions. Abatement reduces the federal income taxes payable by persons residing in Quebec or in certain self-governing Yukon First Nation settlement lands.,
,Market income - The sum of employment income (wages  salaries and commissions  net self-employment income from farm or non-farm unincorporated business and/or professional practice)  investment income  private retirement income (retirement pensions  superannuation and annuities  including those from registered retirement savings plans [RRSPs] and registered retirement income funds [RRIFs]) and other money income from market sources during the reference period. It is equivalent to total income minus government transfers. It is also referred to as income before transfers and taxes.,
,Government transfers - All cash benefits received from federal  provincial  territorial or municipal governments during the reference period. It includes:,
,    *Old Age Security pension  Guaranteed Income Supplement  Allowance or Allowance for the Survivor;,
,    *retirement  disability and survivor benefits from Canada Pension Plan and Québec Pension Plan;,
,    *benefits from Employment Insurance and Québec parental insurance plan;,
,    *child benefits from federal and provincial programs;,
,    *social assistance benefits;,
,    *workers' compensation benefits;,
,    *Working income tax benefit;,
,    *Goods and services tax credit and harmonized sales tax credit;,
,    *other income from government sources.,
,Employment income - All income received as wages  salaries and commissions from paid employment and net self-employment income from farm or non-farm unincorporated business and/or professional practice during the reference period.,
,For the 2016 Census  the reference period is the calendar year 2015 for all income variables.,
,Average income of a specified group is calculated by dividing the aggregate income of that group by the number of units in that group. Average incomes of individuals are calculated for those with income (positive or negative).,
23, Employment income - All income received as wages  salaries and commissions from paid employment and net self-employment income from farm or non-farm unincorporated business and/or professional practice during the reference period.,
,For the 2016 Census  the reference period is the calendar year 2015 for all income variables.,
24, Full-year full-time workers - Persons aged 15 years and over who worked mostly full time (30 hours or more per week) and full year (49 weeks and over per year) in 2015. For more information  see variable work activity in 2015  Dictionary  Census of Population  2016.,
25, Median income - The median income of a specified group is the amount that divides the income distribution of that group into two halves  i.e.  the incomes of half of the units in that group are below the median  while those of the other half are above the median.,
,Median incomes of individuals are calculated for those with income (positive or negative).,
26, Average income - Average income of a specified group is calculated by dividing the aggregate income of that group by the number of units in that group.,
,Average incomes of individuals are calculated for those with income (positive or negative).,
27, Composition of total income - The composition of the total income of a population group or a geographic area refers to the relative share of each income source or group of sources  expressed as a percentage of the aggregate total income of that group or area.,
,For the 2016 Census  the reference period is the calendar year 2015 for all income variables.,
28, Market income - The sum of employment income (wages  salaries and commissions  net self-employment income from farm or non-farm unincorporated business and/or professional practice)  investment income  private retirement income (retirement pensions  superannuation and annuities  including those from registered retirement savings plans [RRSPs] and registered retirement income funds [RRIFs]) and other money income from market sources during the reference period. It is equivalent to total income minus government transfers. It is also referred to as income before transfers and taxes.,
,For the 2016 Census  the reference period is the calendar year 2015 for all income variables.,
29, Employment income - All income received as wages  salaries and commissions from paid employment and net self-employment income from farm or non-farm unincorporated business and/or professional practice during the reference period.,
,For the 2016 Census  the reference period is the calendar year 2015 for all income variables.,
30, Government transfers - All cash benefits received from federal  provincial  territorial or municipal governments during the reference period. It includes:,
,    *Old Age Security pension  Guaranteed Income Supplement  Allowance or Allowance for the Survivor;,
,    *retirement  disability and survivor benefits from Canada Pension Plan and Québec Pension Plan;,
,    *benefits from Employment Insurance and Québec parental insurance plan;,
,    *child benefits from federal and provincial programs;,
,    *social assistance benefits;,
,    *workers' compensation benefits;,
,    *Working income tax benefit;,
,    *Goods and services tax credit and harmonized sales tax credit;,
,    *other income from government sources.,
,For the 2016 Census  the reference period is the calendar year 2015 for all income variables.,
31, Total income - The sum of certain incomes (in cash and  in some circumstances  in kind) of the statistical unit during a specified reference period. The components used to calculate total income vary between:,
